🇨🇳央视频道,#genre#
西藏卫视,http://itv.iptv1688.top:2016/itv.php?id=西藏卫视
四川卫视,http://itv.iptv1688.top:2016/itv.php?id=四川卫视
山西卫视,http://itv.iptv1688.top:2016/itv.php?id=山西卫视
甘肃卫视,http://itv.iptv1688.top:2016/itv.php?id=甘肃卫视
新疆卫视,http://itv.iptv1688.top:2016/itv.php?id=新疆卫视
青海卫视,http://itv.iptv1688.top:2016/itv.php?id=青海卫视
延边卫视,http://itv.iptv1688.top:2016/itv.php?id=延边卫视
兵团卫视,http://itv.iptv1688.top:2016/itv.php?id=兵团卫视
北京卫视,http://kent.dzzkent.top:4022/udp/234.1.3.164:5000
天津卫视,http://kent.dzzkent.top:4022/udp/234.1.3.168:5000
黑龙江卫视,http://kent.dzzkent.top:4022/udp/234.1.3.152:5000
吉林卫视,http://kent.dzzkent.top:4022/udp/234.1.3.196:5000
辽宁卫视,http://kent.dzzkent.top:4022/udp/234.1.3.165:5000
河北卫视,http://kent.dzzkent.top:4022/udp/234.1.3.146:5000
河南卫视,http://kent.dzzkent.top:4022/udp/234.1.3.83:5000
山东卫视,http://kent.dzzkent.top:4022/udp/234.1.3.162:5000
山西卫视,http://kent.dzzkent.top:4022/udp/234.1.3.36:5000
湖北卫视,http://kent.dzzkent.top:4022/udp/234.1.3.163:5000
湖南卫视,http://kent.dzzkent.top:4022/udp/234.1.3.151:5000
安徽卫视,http://kent.dzzkent.top:4022/udp/234.1.3.169:5000
江苏卫视,http://kent.dzzkent.top:4022/udp/234.1.3.153:5000
江西卫视,http://kent.dzzkent.top:4022/udp/234.1.3.214:5000
浙江卫视,http://kent.dzzkent.top:4022/udp/234.1.3.154:5000
东方卫视,http://kent.dzzkent.top:4022/udp/234.1.3.155:5000
东南卫视,http://kent.dzzkent.top:4022/udp/234.1.3.160:5000
厦门卫视,http://kent.dzzkent.top:4022/udp/234.1.3.59:5000
海南卫视,http://kent.dzzkent.top:4022/udp/234.1.3.141:5000
三沙卫视,http://kent.dzzkent.top:4022/udp/234.1.3.72:5000
深圳卫视,http://kent.dzzkent.top:4022/udp/234.1.3.158:5000
广东卫视,http://kent.dzzkent.top:4022/udp/234.1.3.159:5000
广西卫视,http://kent.dzzkent.top:4022/udp/234.1.3.52:5000
云南卫视,http://kent.dzzkent.top:4022/udp/234.1.3.23:5000
贵州卫视,http://kent.dzzkent.top:4022/udp/234.1.3.167:5000
重庆卫视,http://kent.dzzkent.top:4022/udp/234.1.3.166:5000
四川卫视,http://kent.dzzkent.top:4022/udp/234.1.3.156:5000
陕西卫视,http://kent.dzzkent.top:4022/udp/234.1.3.31:5000
宁夏卫视,http://kent.dzzkent.top:4022/udp/234.1.3.27:5000
甘肃卫视,http://kent.dzzkent.top:4022/udp/234.1.3.195:5000
青海卫视,http://kent.dzzkent.top:4022/udp/234.1.3.38:5000
西藏卫视,http://kent.dzzkent.top:4022/udp/234.1.3.35:5000
新疆卫视,http://kent.dzzkent.top:4022/udp/234.1.3.34:5000
兵团卫视,http://kent.dzzkent.top:4022/udp/234.1.3.60:5000
内蒙古卫视,http://kent.dzzkent.top:4022/udp/234.1.1.9:5000

CCTV1,http://182.32.159.109:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://182.32.159.109:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://182.32.159.109:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://182.32.159.109:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://182.32.159.109:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://182.32.159.109:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://182.32.159.109:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://182.32.159.109:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://182.32.159.109:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://182.32.159.109:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://182.32.159.109:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://182.32.159.109:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://182.32.159.109:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://182.32.159.109:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://182.32.159.109:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://182.32.159.109:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0

凤凰资讯,http://39.134.184.101:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236197/index.m3u8?IAS
凤凰中文,http://39.134.184.101:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236260/index.m3u8?IAS
CCTV1,http://8.138.7.223/tv/hot.php?id=1
CCTV2,http://8.138.7.223/tv/hot.php?id=2
CCTV3,http://8.138.7.223/tv/hot.php?id=3
CCTV4,http://8.138.7.223/tv/hot.php?id=4
CCTV5,http://8.138.7.223/tv/hot.php?id=5
CCTV6,http://8.138.7.223/tv/hot.php?id=6
CCTV7,http://8.138.7.223/tv/hot.php?id=7
CCTV8,http://8.138.7.223/tv/hot.php?id=8
CCTV9,http://8.138.7.223/tv/hot.php?id=9
CCTV10,http://8.138.7.223/tv/hot.php?id=10
CCTV11,http://8.138.7.223/tv/hot.php?id=11
CCTV12,http://8.138.7.223/tv/hot.php?id=12
CCTV13,http://8.138.7.223/tv/hot.php?id=13
CCTV14,http://8.138.7.223/tv/hot.php?id=14
CCTV15,http://8.138.7.223/tv/hot.php?id=15
CCTV16,http://8.138.7.223/tv/hot.php?id=16
CCTV17,http://8.138.7.223/tv/hot.php?id=17
CCTV5+,http://8.138.7.223/tv/hot.php?id=18

🇨🇳卫视视频道,#genre#





山东齐鲁,http://182.32.159.109:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
山东新闻,http://182.32.159.109:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
山东体育,http://182.32.159.109:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
山东少儿,http://182.32.159.109:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
山东教育,http://182.32.159.109:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
山东文旅,http://182.32.159.109:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
山东综艺,http://182.32.159.109:85/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
山东农科,http://182.32.159.109:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
山东生活,http://182.32.159.109:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
山东海洋,http://182.32.159.109:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://182.32.159.109:85/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://182.32.159.109:85/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://182.32.159.109:85/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://182.32.159.109:85/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://182.32.159.109:85/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://182.32.159.109:85/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://182.32.159.109:85/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://182.32.159.109:85/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://182.32.159.109:85/tsfile/live/01101_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://182.32.159.109:85/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://182.32.159.109:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://182.32.159.109:85/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://182.32.159.109:85/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://182.32.159.109:85/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://182.32.159.109:85/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://182.32.159.109:85/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://182.32.159.109:85/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://182.32.159.109:85/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://182.32.159.109:85/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://182.32.159.109:85/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0

北京卫视,http://8.138.7.223/tv/hot.php?id=19
天津卫视,http://8.138.7.223/tv/hot.php?id=20
河北卫视,http://8.138.7.223/tv/hot.php?id=21
山西卫视,http://8.138.7.223/tv/hot.php?id=22
内蒙古卫视,http://8.138.7.223/tv/hot.php?id=23
辽宁卫视,http://8.138.7.223/tv/hot.php?id=24
吉林卫视,http://8.138.7.223/tv/hot.php?id=25
黑龙江卫视,http://8.138.7.223/tv/hot.php?id=26
东方卫视,http://8.138.7.223/tv/hot.php?id=27
江苏卫视,http://8.138.7.223/tv/hot.php?id=28
浙江卫视,http://8.138.7.223/tv/hot.php?id=29
山东卫视,http://8.138.7.223/tv/hot.php?id=33
安徽卫视,http://8.138.7.223/tv/hot.php?id=30
东南卫视,http://8.138.7.223/tv/hot.php?id=31
江西卫视,http://8.138.7.223/tv/hot.php?id=32
河南卫视,http://8.138.7.223/tv/hot.php?id=34
湖北卫视,http://8.138.7.223/tv/hot.php?id=35
湖南卫视,http://8.138.7.223/tv/hot.php?id=36
广东卫视,http://8.138.7.223/tv/hot.php?id=37
广西卫视,http://8.138.7.223/tv/hot.php?id=38
海南卫视,http://8.138.7.223/tv/hot.php?id=39
重庆卫视,http://8.138.7.223/tv/hot.php?id=40
四川卫视,http://8.138.7.223/tv/hot.php?id=41
贵州卫视,http://8.138.7.223/tv/hot.php?id=101
云南卫视,http://8.138.7.223/tv/hot.php?id=43
西藏卫视,http://8.138.7.223/tv/hot.php?id=44
陕西卫视,http://8.138.7.223/tv/hot.php?id=45
甘肃卫视,http://8.138.7.223/tv/hot.php?id=46
青海卫视,http://8.138.7.223/tv/hot.php?id=47
宁夏卫视,http://8.138.7.223/tv/hot.php?id=48
新疆卫视,http://8.138.7.223/tv/hot.php?id=49
延边卫视,http://8.138.7.223/tv/hot.php?id=50
海峡卫视,http://8.138.7.223/tv/hot.php?id=51
厦门卫视,http://8.138.7.223/tv/hot.php?id=52
大湾区卫视,http://8.138.7.223/tv/hot.php?id=53
深圳卫视,http://8.138.7.223/tv/hot.php?id=54
三沙卫视,http://8.138.7.223/tv/hot.php?id=55
康巴卫视,http://8.138.7.223/tv/hot.php?id=56
农林卫视,http://8.138.7.223/tv/hot.php?id=57
安多卫视,http://8.138.7.223/tv/hot.php?id=58
兵团卫视,http://8.138.7.223/tv/hot.php?id=59
🇨🇳影视频道,#genre#
睛彩竞技,http://61.160.112.102:35455/itv/3000000020000011528.m3u8?cdn=FifastbLive
睛彩篮球,http://61.160.112.102:35455/itv/3000000020000011529.m3u8?cdn=FifastbLive
睛彩青少,http://61.160.112.102:35455/itv/3000000020000011525.m3u8?cdn=FifastbLive
睛彩广场舞,http://61.160.112.102:35455/itv/3000000020000011524.m3u8?cdn=FifastbLive
CHC家庭影院,http://60.16.18.243:4949/hls/29/index.m3u8#http://sport.pendy.dpdns.org/migu/644368373?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CHC电影,http://60.16.18.243:4949/hls/28/index.m3u8#http://sport.pendy.dpdns.org/migu/952383261?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
卡酷少儿,http://8.138.7.223/tv/hot.php?id=60
哈哈炫动,http://8.138.7.223/tv/hot.php?id=61
优漫卡通,http://8.138.7.223/tv/hot.php?id=62
金鹰卡通,http://8.138.7.223/tv/hot.php?id=63
嘉佳卡通,http://8.138.7.223/tv/hot.php?id=64
CHC影迷电影,http://8.138.7.223/tv/hot.php?id=65
CHC动作电影,http://8.138.7.223/tv/hot.php?id=66
CHC家庭影院,http://8.138.7.223/tv/hot.php?id=67
华数喜剧影院,http://1.203.76.71:8899/rtp/225.1.8.251:4120
华数动作影院,http://1.203.76.71:8899/rtp/225.1.8.252:4120
华数家庭影院,http://1.203.76.71:8899/rtp/225.1.8.253:4120
华数星影,http://1.203.76.71:8899/rtp/225.1.8.254:4120
华数精选,http://1.203.76.71:8899/rtp/225.1.8.234:4120
华数经典电影,http://1.203.76.71:8899/rtp/225.1.8.203:9024
华数爱上4K电影,http://1.203.76.71:8899/rtp/225.1.8.80:2000
华数热播剧场,http://1.203.76.71:8899/rtp/225.1.8.202:9020
华数魅力时尚,http://1.203.76.71:8899/rtp/225.1.8.204:9012
华数城市剧场,http://1.203.76.71:8899/rtp/225.1.8.227:4120
华数军旅剧场,http://1.203.76.71:8899/rtp/225.1.8.228:4120
华数古装剧场,http://1.203.76.71:8899/rtp/225.1.8.229:4120
武侠剧场,http://1.203.76.71:8899/rtp/225.1.8.250:4120
重温经典,http://1.203.76.71:8899/rtp/225.1.8.39:8002

